,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space"
03/26/2025 22:37:01,8.59375,8.606148,1.5625,0.78125,1.5625,1.57489777,3.14980149,3.90625,3.71713638,67,67,65,66,66,63,62,63,67,4507.82568,4207.304,4407.652,4207.304,4307.478,4207.304,4207.304,4207.304,16.14531,12.4219217,0.06609492,0,100.173912,72.61969,11.4332085,4.31074142,65,1485.00012,6000.99951,0,4,0,0,2,4096,571.03125,3524.96875,13.9411926,18.822,0.5371094,445.5078,60.4445877,49.3779373
03/26/2025 22:37:02,11.71875,13.24519,6.25,6.213939,3.90625,4.6754837,7.776439,9.375,7.895136,65,62,64,64,63,61,63,62,65,4307.479,4207.30469,4207.30469,4207.30469,4207.30469,4207.30469,4507.82666,4307.479,18.0770683,14.1476259,0.07945964,0,100.173927,72.664566,11.4402733,4.30367661,65,1485.00012,6000.99951,0,8,0,0,5,4096,548.8633,3547.13672,13.3999825,18.784,0.48828125,445.5078,60.4445877,49.3779373
03/26/2025 22:37:03,11.5384579,9.230768,3.8461566,5.384612,5.384612,6.153846,4.615384,6.153846,6.53847456,68,70,70,68,67,64,65,65,69,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,22.4404182,18.30662,0.0502034836,0,100.1739,72.70406,11.4464912,4.29745865,65,1485.00012,6000.99951,0,14,1,0,10,4096,561.7383,3534.26172,13.7143135,20.461,7.91015625,2126.95313,60.4445877,49.3779373
03/26/2025 22:37:04,5.46875,4.6875,3.90625,1.5625,5.46875,7.8125,2.34375,7.03125,4.78515625,72,68,79,74,70,70,66,69,79,4207.30273,4407.65039,4207.30273,4307.47656,4207.30273,4207.30273,4207.30273,4207.30273,22.9468365,18.9187069,0.0682432,0,100.173874,72.72793,11.4502487,4.293701,65,1485.00012,6000.99951,0,12,1,0,8,4096,568.777344,3527.22266,13.8861656,19.052,6.591797,0.09765625,60.4445877,49.3779373
03/26/2025 22:37:05,7.69230747,10.76923,7.69230747,3.8461566,2.30768919,4.615384,4.615384,8.4615345,6.25000572,66,63,66,64,64,61,63,63,66,4207.307,4207.307,4507.829,4207.307,4207.307,4207.307,4307.481,4207.307,19.6166134,15.5477028,0.0116884615,0,100.173973,72.7705,11.4569511,4.28699875,65,1485.00012,6000.99951,0,4,0,0,3,4096,572.089844,3523.91016,13.9670372,18.1610012,3.80859375,2511.18164,60.4445877,49.3779373
03/26/2025 22:37:06,2.38095522,3.174603,0.793647766,3.174603,0.793647766,1.58730149,3.96825075,4.76190472,2.5793612,66,63,65,63,64,60,62,62,66,4207.305,4207.305,4507.82666,4207.305,4207.305,4207.305,4307.479,4207.305,17.26334,13.4767027,0.00362128462,0,100.173927,72.78259,11.4588547,4.285095,65,1485.00012,6000.99951,0,10,0,0,8,4096,579.4258,3516.57422,14.1461372,17.856,3.66210938,1684.13086,60.4445877,49.3779373
03/26/2025 22:37:07,4.615384,10.0000019,8.4615345,2.30768919,2.30768919,3.8461566,3.8461566,4.615384,5.000007,68,63,66,66,65,63,63,63,68,4407.65234,4207.304,4407.65234,4307.478,4307.478,4207.304,4307.478,4207.304,16.4473667,12.845933,0,0,100.173912,72.79267,11.4604416,4.2835083,65,1485.00012,6000.99951,0,10,0,0,9,4096,576.5508,3519.44922,14.0759468,17.8790016,2.39257813,2102.49023,60.4445877,49.3779373
03/26/2025 22:37:08,1.5625,7.8125,2.34375,3.125,1.5625,1.5625,1.5625,2.34375,2.734375,66,65,66,68,68,64,63,65,68,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,17.75687,13.9086533,0.0017140191,0,100.1739,72.82395,11.4653664,4.27858353,64,1485.00012,6000.99951,0,10,0,0,9,4096,581.1758,3514.82422,14.1888618,17.8720016,8.203125,2103.955,60.4445877,49.3779373
03/26/2025 22:37:09,12.121212,21.2121181,11.3636379,4.54545,8.333338,4.54545,9.848488,6.06060028,9.753788,68,68,67,66,67,63,64,64,68,4207.305,4207.305,4207.305,4207.305,4307.47949,4207.305,4207.305,4207.305,28.02766,23.9363766,0.00113010674,0,100.173935,72.86745,11.4722137,4.271736,65,1485.00012,6000.99951,0,10,1,0,8,4096,580.2383,3515.76172,14.1659737,18.1950016,4.1015625,1681.88477,60.4445877,49.3779373
03/26/2025 22:37:10,5.555558,4.76190472,6.349206,1.58730149,2.38095522,3.174603,1.58730149,3.96825075,3.67062688,68,74,70,68,68,65,64,66,74,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,18.4508514,14.5938568,0.00305897,0,100.173904,72.85686,11.4705467,4.273403,65,1485.00012,6000.99951,0,10,0,0,8,4096,559.7617,3536.23828,13.6660576,18.012001,2.39257813,1682.08008,60.4445877,49.3779373
03/26/2025 22:37:11,10.15625,11.71875,7.8125,7.03125,2.34375,0.78125,3.90625,8.59375,6.54296875,67,67,68,64,66,64,63,63,68,4207.30469,4207.30469,4207.30469,4207.30469,4207.30469,4207.30469,4207.30469,4207.30469,21.10691,17.2257614,0.000800579553,0,100.173927,72.85426,11.4701385,4.27381134,65,1485.00012,6000.99951,0,10,0,0,9,4096,554.9492,3541.05078,13.5485649,18.0740013,4.00390625,1682.12891,60.4445877,49.3779373
03/26/2025 22:37:12,8.59375,12.5,14.0625,10.15625,7.8125,1.5625,2.34375,7.03125,8.0078125,67,67,68,64,65,64,63,64,68,4207.30273,4207.30273,4207.30273,4207.30273,4207.30273,4207.30273,4207.30273,4307.47656,19.2172279,15.28952,0.00114682876,0,100.173874,72.87677,11.4736824,4.27026749,65,1485.00012,6000.99951,0,10,0,0,8,4096,556.3867,3539.61328,13.58366,18.092001,2.19726563,2091.40625,60.4445877,49.3779373
03/26/2025 22:37:13,4.615384,13.0769253,8.4615345,5.384612,5.384612,2.30768919,3.076923,7.668996,6.24708557,66,63,66,66,66,62,63,64,66,4207.30664,4207.30664,4307.481,4207.30664,4207.30664,4207.30664,4207.30664,4207.30664,18.9929447,15.0694351,0,0,100.173973,72.89284,11.4762115,4.26773834,65,1485.00012,6000.99951,0,10,0,0,8,4096,557.6992,3538.30078,13.6157036,17.9210014,1.90429688,2102.49023,60.4445877,49.3779373
03/26/2025 22:37:14,15.3846149,26.9230728,16.9230766,19.9999981,16.9230766,13.8461533,17.6923027,14.6153812,17.7884521,71,68,73,69,70,66,66,66,73,4207.304,4207.304,4207.304,4207.304,4207.304,4207.304,4207.304,4207.304,35.1130867,30.2627983,0.00132687925,0,100.173912,73.20177,11.5248489,4.219101,65,1485.00012,6000.99951,0,10,0,0,9,4096,547.902344,3548.09766,13.3765221,17.926,3.85742188,1685.64453,60.4445877,49.3779373
03/26/2025 22:37:15,11.5384579,23.0769215,19.9999981,9.230768,6.92307949,9.230768,10.76923,9.230768,12.4999943,67,71,77,75,67,66,64,66,77,4207.305,4207.305,4207.305,4207.305,4207.305,4207.305,4207.305,4207.305,27.8682213,23.5401134,0,0,100.173927,73.3991852,11.5559311,4.188019,65,1485.00012,6000.99951,0,10,0,0,9,4096,553.714844,3542.28516,13.5184288,17.944,4.1015625,1682.373,60.4445877,49.3779373
03/26/2025 22:37:16,10.9375,16.40625,8.59375,7.8125,8.59375,7.03125,4.6875,10.9375,9.375,67,66,69,64,66,63,63,65,69,4207.274,4207.274,4207.274,4207.274,4207.274,4207.274,4207.274,4207.274,22.81545,18.7294922,0.00208198675,0,100.173187,73.39999,11.556057,4.187893,65,1485.00012,6000.99951,0,0,0,0,0,4096,553.714844,3542.28516,13.5184288,17.738,0.09765625,0.7324219,60.4445877,49.3779373
03/26/2025 22:37:17,15.0793667,18.2539711,14.2857132,11.1111107,15.0793667,8.730162,11.1111107,11.1111107,13.0952244,66,63,72,64,66,63,64,66,74,4207.335,4207.335,4207.335,4207.335,4207.335,4207.335,4207.335,4207.335,21.0041656,17.0674782,0.010702339,0,100.174637,73.35237,11.5485611,4.195389,65,1485.00012,6000.99951,0,0,0,0,0,4096,554.214844,3541.78516,13.5306358,17.638,0.048828125,0.09765625,60.4445877,49.3779373
03/26/2025 22:37:18,6.92307949,11.5384579,10.0000019,6.153846,3.8461566,1.53846145,5.432689,2.30768919,5.967551,68,66,69,64,66,63,63,65,69,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,4207.30371,23.4846458,19.6271286,0.0006634047,0,100.173904,73.3571,11.549305,4.194645,65,1485.00012,6000.99951,0,1,0,0,1,4096,552.839844,3543.16016,13.4970665,17.6670017,0.09765625,421.386719,60.4445877,49.37804
03/26/2025 22:37:19,6.153846,10.76923,6.92307949,3.8461566,4.615384,3.076923,7.657343,10.0000019,6.630254,68,66,69,67,67,64,65,66,69,4207.305,4307.479,4207.305,4207.305,4207.305,4207.305,4207.305,4207.305,24.0272083,20.02194,0.0209652558,0,100.173927,73.40832,11.5573692,4.18658066,65,1485.00012,6000.99951,0,11,1,0,9,4096,544.527344,3551.47266,13.2941246,18.093,2.29492188,1684.27734,60.4445877,49.37804
03/26/2025 22:37:20,7.8125,12.5,7.8125,3.90625,5.46875,1.5625,4.6875,5.46875,6.15234375,72,71,72,69,69,66,66,67,72,4207.305,4207.305,4207.305,4207.305,4207.305,4207.305,4207.305,4207.305,26.2556133,22.2087231,0,0,100.173927,73.48375,11.5692444,4.17470551,65,1485.00012,6000.99951,0,10,1,0,8,4096,545.402344,3550.59766,13.3154869,18.1230011,11.71875,2102.295,60.4445877,49.37804
03/26/2025 22:37:21,6.25,7.8125,5.46875,7.8125,3.90625,5.46875,1.5625,9.375,5.95703125,69,66,69,66,67,63,65,69,71,4207.30469,4207.30469,4207.30469,4207.30469,4207.30469,4207.30469,4207.30469,4207.30469,25.9816723,21.5169353,0.11901,0,100.17392,73.41608,11.55859,4.18536,65,1485.00012,6000.99951,0,15,1,0,10,4096,545.164063,3550.836,13.3096695,19.7850018,2.39257813,2510.88867,60.4445877,49.37804
03/26/2025 22:37:22,10.76923,7.69230747,6.153846,4.615384,3.076923,2.30768919,1.53846145,9.230768,5.67308044,67,65,68,64,66,63,63,67,68,4407.651,4207.303,4307.477,4207.303,4207.303,4207.303,4207.303,4207.303,21.2841969,17.010397,0.07409197,0,100.173889,73.4514,11.5641518,4.179798,65,1485.00012,6000.99951,0,13,1,0,9,4096,543.101563,3552.89844,13.2593155,19.277,1.7578125,2547.60742,60.4445877,49.37804
